Date,Description,Out,In
6/1/2024,rolly salary,3000.00,
6/2/2024,knife sharpening,650.00,
6/4/2024,withdraw,,7000.00
6/6/2024,jeeves,500.00,
6/7/2024,bernard,1150.00,
6/7/2024,true value (EPS),,716.00
6/7/2024,true value (EPS),716.00,
6/7/2024,dinner playdate,1500.00,
6/7/2024,honey,1970.00,
6/7/2024,withdraw,,20000.00
6/7/2024,tennis,3000.00,
6/7/2024,mam B,60.00,
6/7/2024,labor grease trap cleaning,1000.00,
6/7/2024,karlens milk,828.00,
6/7/2024,mozarella,121.00,
6/7/2024,ham,117.00,
6/7/2024,ground beef,713.00,
6/7/2024,pork neck,613.00,
6/7/2024,rider santis,250.00,
6/7/2024,bell pepper,380.00,
6/7/2024,banana,210.00,
6/7/2024,celery,145.00,
6/7/2024,orange,120.00,
6/7/2024,apple,150.00,
6/7/2024,egg,250.00,
6/7/2024,tomato,145.00,
6/7/2024,kamote,160.00,
6/7/2024,grapes,230.00,
6/7/2024,mint,75.00,
6/7/2024,broccoli,380.00,
6/7/2024,onion,165.00,
6/7/2024,flower,600.00,
6/7/2024,wansoy,260.00,
6/7/2024,carrots,210.00,
6/7/2024,cucumber,260.00,
6/7/2024,zucchini,210.00,
6/7/2024,squash,150.00,
6/7/2024,avocado,350.00,
6/7/2024,pomelo,210.00,
6/7/2024,spinach,240.00,
6/7/2024,mango,160.00,
6/7/2024,spring onion,45.00,
6/7/2024,potato,450.00,
6/7/2024,alugbati,50.00,
6/7/2024,basil,75.00,
6/7/2024,pinya,210.00,
6/7/2024,cauliflower,320.00,
6/7/2024,elmer,1000.00,
6/7/2024,fertilizer,800.00,
6/7/2024,pampano,650.00,
6/7/2024,prawns,1560.00,
6/7/2024,tilapia,460.00,
6/7/2024,salmon,900.00,
6/7/2024,romaine,560.00,
6/7/2024,cherry tomato,160.00,
6/7/2024,ginger,80.00,
6/7/2024,garlic,140.00,
6/7/2024,sili,100.00,
6/7/2024,betroot,180.00,
6/7/2024,calamansi,50.00,
6/7/2024,asparagus,420.00,
6/7/2024,lemon ,150.00,
6/7/2024,leeks,90.00,
6/7/2024,chinese broccoli,190.00,
6/7/2024,strawberry,420.00,
6/7/2024,dragon fruits,180.00,
6/8/2024,withdraw,,7000.00
6/8/2024,ARC,660.00,
6/8/2024,ara ,1000.00,
6/8/2024,michelle,1000.00,
6/8/2024,summit,1045.00,
6/8/2024,Nuts & del fee,2285.00,
6/10/2024,lamp candle bulb x4,416.00,
6/11/2024,rider del fee santis,250.00,
6/12/2024,Ara Holiday,650.00,
6/14/2024,salt lamp bulb x6,132.00,
6/14/2024,shadows food,2045.00,
6/14/2024,withdraw,,20000.00
6/14/2024,alessi medicines,950.00,
6/14/2024,Healthy Option,3000.00,
6/14/2024,Elmer,1000.00,
6/14/2024,romaine,560.00,
6/14/2024,flower,550.00,
6/14/2024,celery,168.00,
6/14/2024,cucumber,308.00,
6/14/2024,cherry tomato,160.00,
6/14/2024,gasul,150.00,
6/14/2024,onion,180.00,
6/14/2024,ginger,100.00,
6/14/2024,bell pepper,280.00,
6/14/2024,apple,150.00,
6/14/2024,cauliflower,360.00,
6/14/2024,snow peas,120.00,
6/14/2024,potato,380.00,
6/14/2024,banana,210.00,
6/14/2024,kalabasa,150.00,
6/14/2024,eggs,250.00,
6/14/2024,dyaryo,450.00,
6/14/2024,calamansi,100.00,
6/14/2024,broccoli,420.00,
6/14/2024,asparagus,480.00,
6/14/2024,pomelo,200.00,
6/14/2024,orange,120.00,
6/14/2024,lemon ,80.00,
6/14/2024,french beans,150.00,
6/14/2024,kinchay,150.00,
6/14/2024,alugbati,75.00,
6/14/2024,tomato,80.00,
6/14/2024,tilapya ,560.00,
6/14/2024,pampano,680.00,
6/14/2024,galungong,480.00,
6/14/2024,talakitok,780.00,
6/15/2024,ara food allowance,1000.00,
6/15/2024,michelle food allowance,1000.00,
6/15/2024,rider,250.00,
6/15/2024,karlens milk,690.00,
6/15/2024,yougurt,456.00,
6/15/2024,ARC,360.00,
6/17/2024,Holiday michelle,650.00,
6/19/2024,withdraw,,8000.00
6/19/2024,honey & del fee,2730.00,
6/19/2024,nuts & del fee,1880.00,
6/19/2024,bernard berries,1800.00,
6/21/2024,withdraw,,20000.00
6/21/2024,milk ,829.00,
6/21/2024,rider,250.00,
6/21/2024,mozarella,491.00,
6/21/2024,truffle cheese,677.00,
6/21/2024,smoke gouda cheese,545.00,
6/21/2024,farmers ham,158.00,
6/21/2024,olives ,392.00,
6/21/2024,yougurt,304.00,
6/21/2024,porkloin,890.00,
6/21/2024,porkneck,720.00,
6/21/2024,ground beef,1220.00,
6/21/2024,parsley,235.00,
6/21/2024,basil,75.00,
6/21/2024,talong,145.00,
6/21/2024,onion,310.00,
6/21/2024,romaine,720.00,
6/21/2024,bell pepper,280.00,
6/21/2024,sitaw,95.00,
6/21/2024,flowers,640.00,
