Date,Description,Amount (Negated),Amount,Category
8/2/2024,withdraw,,20000.00,Assets:Current Assets:Banks Local:BPI ATM House
8/2/2024,flower,550.00,,Expenses:Food:Groceries
8/2/2024,kalabasa,120.00,,Expenses:Food:Groceries
8/2/2024,romaine,580.00,,Expenses:Food:Groceries
8/2/2024,cucumber,280.00,,Expenses:Food:Groceries
8/2/2024,mint,75.00,,Expenses:Food:Groceries
8/2/2024,basil,100.00,,Expenses:Food:Groceries
8/2/2024,snow peas,80.00,,Expenses:Food:Groceries
8/2/2024,french beans,120.00,,Expenses:Food:Groceries
8/2/2024,white onion,180.00,,Expenses:Food:Groceries
8/2/2024,garlic,200.00,,Expenses:Food:Groceries
8/2/2024,red onion,160.00,,Expenses:Food:Groceries
8/2/2024,luya,180.00,,Expenses:Food:Groceries
8/2/2024,patatas,480.00,,Expenses:Food:Groceries
8/2/2024,carrots,260.00,,Expenses:Food:Groceries
8/2/2024,zucchini,145.00,,Expenses:Food:Groceries
8/2/2024,kinchay,210.00,,Expenses:Food:Groceries
8/2/2024,bell pepper,260.00,,Expenses:Food:Groceries
8/2/2024,cherry tomato,160.00,,Expenses:Food:Groceries
8/2/2024,tomato,380.00,,Expenses:Food:Groceries
8/2/2024,egg,250.00,,Expenses:Food:Groceries
8/2/2024,apple,150.00,,Expenses:Food:Groceries
8/2/2024,orange,150.00,,Expenses:Food:Groceries
8/2/2024,mango,180.00,,Expenses:Food:Groceries
8/2/2024,banana,180.00,,Expenses:Food:Groceries
8/2/2024,kiwi,45.00,,Expenses:Food:Groceries
8/2/2024,pinya,190.00,,Expenses:Food:Groceries
8/2/2024,dragon fruit,165.00,,Expenses:Food:Groceries
8/2/2024,alugbati,45.00,,Expenses:Food:Groceries
8/2/2024,pomelo,210.00,,Expenses:Food:Groceries
8/2/2024,avocado,190.00,,Expenses:Food:Groceries
8/2/2024,japanese cucumber,160.00,,Expenses:Food:Groceries
8/2/2024,cauliflower,260.00,,Expenses:Food:Groceries
8/2/2024,bell red pepper,120.00,,Expenses:Food:Groceries
8/2/2024,broccoli,323.00,,Expenses:Food:Groceries
