Date,Description,Amount (Negated),Amount,Classification
2025-08-04,"UBER* TRIP, WWW.UBER.COM/, AU (AUD 13.34)",518.06,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-03,"2XU BRISBANE AIRPORT, BRISBANE AIRP, AU (AUD -16.99)",0.0,629.45,Expenses:Clothes
2025-08-02,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 9.44)",368.99,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-02,"East Hotel - Joes Bar, Kingston, AU (AUD 65.56)",2562.61,0.0,Expenses:Entertainment:Drinks
2025-08-02,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 10.43)",407.69,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-02,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 11.45)",447.56,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-02,"NATIONAL SCIENCE CTR, PARKES, AU (AUD 63.50)",2481.91,0.0,Expenses:Childcare:School Supplies
2025-08-02,"LAZADA PH, MAKATI, PH",2148.32,0.0,Expenses:Household Supplies
2025-08-02,"COLES 0859, MANUKA, AU (AUD 71.18)",2782.09,0.0,Expenses:Food:Groceries
2025-08-02,"PADDLE.NET* CRASHPLAN, London, GB (USD 22.38)",1350.1,0.0,Expenses:Professional Development & Productivity
2025-08-01,"THE PHARMACY ON FRANKL, MANUKA, AU (AUD 94.80)",3705.54,0.0,Expenses:Health:Medicines
2025-08-01,"VPN* FGF97KJJ9T, GOTHENBURG, S, SE (USD 5.70)",343.86,0.0,Assets:Current Assets:Cash Local:RISE
2025-08-01,"SM.NORD* VPNCOM, LONDON, GB",729.89,0.0,Expenses:Electronics & Software
2025-08-01,"REPLICATE, REPLICATE.COM, US (USD 10.00)",598.5,0.0,Assets:Current Assets:Cash Local:RISE
2025-07-31,"EAST HOTEL, GRIFFITH, AU (AUD 1,329.65)",51662.83,0.0,Expenses:Travel:Others
2025-07-31,"Public Manuka, Griffith, AU (AUD 66.99)",2618.51,0.0,Expenses:Travel:Fare
2025-07-31,"ZLR*CGOCONV, Canberra Airp, AU (AUD 12.98)",504.33,0.0,Expenses:Clothes
2025-07-30,"PINEAPPLE HOTEL, KANGAROO POIN, AU (AUD 30.38)",1187.38,0.0,Expenses:Food:Dining
2025-07-30,"PINEAPPLE HOTEL, KANGAROO POIN, AU (AUD 9.92)",387.72,0.0,Expenses:Food:Dining
2025-07-30,"TASTE BAR DFO, PINKENBA, AU (AUD 4.58)",178.72,0.0,Expenses:Entertainment:Drinks
2025-07-30,"Magical Rice, Brisbane Airp, AU (AUD 17.20)",671.17,0.0,Expenses:Clothes
2025-07-30,"NEWS TRAVELS, EAGLE FARM, AU (AUD 4.55)",177.55,0.0,Expenses:Education:Newspaper & Magazines
2025-07-30,"2XU BRISBANE AIRPORT, BRISBANE AIRP, AU (AUD 33.98)",1325.96,0.0,Expenses:Gifts
2025-07-30,"GRAB, MAKATI, PH",289.0,0.0,Expenses:Transportation:Public
2025-07-30,"SKECHERS BRISBANE, BRISBANE AIRP, AU (AUD 22.99)",897.11,0.0,Expenses:Clothes
2025-07-30,"DEVANTIERS PHARMACY, GREENSLOPES, AU (AUD 5.78)",224.58,0.0,Expenses:Health:Medicines
2025-07-30,"HOKA DFO BRISBANE, BRISBANE AIRP, AU (AUD 289.99)",11315.88,0.0,Expenses:Clothes
2025-07-30,"SKECHERS BRISBANE, BRISBANE AIRP, AU (AUD 47.99)",1872.64,0.0,Expenses:Gifts
2025-07-29,"BCC ON STREET PARKING, BRISBANE CITY, AU (AUD 9.07)",354.49,0.0,Expenses:Transportation:Parking
2025-07-29,"CHEMIST WAREHOUSE, MOUNT GRAVATT, AU (AUD 83.93)",3280.36,0.0,Expenses:Health:Medicines
2025-07-29,"THE BANHMI HOUSE, BRISBANE AIRP, AU (AUD 20.73)",808.91,0.0,Expenses:Clothes
2025-07-29,"AIRALO, SINGAPORE, SG (USD 11.00)",651.45,0.0,Expenses:Travel:Internet
2025-07-29,"WOOLWORTHS/VILLAGE CENTRE, HAMILTON, AU (AUD 169.65)",6620.02,0.0,Expenses:Food:Groceries
2025-07-28,"TRANSLINK SMARTTICKET, QLD, AU (AUD 3.00)",116.76,0.0,Expenses:Travel:Fare
2025-07-28,"LS Brown dog cafe, Woolloongabba, AU (AUD 20.19)",789.11,0.0,Expenses:Food:Dining
2025-07-28,"LS Brown dog cafe, Woolloongabba, AU (AUD 49.67)",1941.32,0.0,Expenses:Food:Dining
2025-07-28,"Adobe, Saggart, Dubl, IE",1261.12,0.0,Expenses:Professional Development & Productivity
2025-07-28,"BWS/CARINDALE SHOPPING CE, CARINDALE, AU (AUD 36.00)",1407.04,0.0,Expenses:Clothes
2025-07-28,"BEST AND LESS, CARINDALE, AU (AUD 53.00)",2071.47,0.0,Expenses:Clothes
2025-07-28,"TRANSLINK SMARTTICKET, QLD, AU (AUD 2.50)",97.71,0.0,Expenses:Gifts
2025-07-28,"MYER CARINDALE, CARINA, AU (AUD 46.60)",1821.34,0.0,Expenses:Clothes
2025-07-28,"PAO BREW CAFE, MAKATI, PH",434.0,0.0,Expenses:Food:Dining
2025-07-28,"DEVANTIERS PHARMACY, GREENSLOPES, AU (AUD 118.47)",4630.33,0.0,Expenses:Health:Medicines
2025-07-28,"CR CARINDALE, CARINDALE, AU (AUD 19.90)",777.78,0.0,Expenses:Clothes
2025-07-28,"IMG INSURANCE, 866-347-6673, US (USD 68.32)",4041.54,0.0,Expenses:Insurance:Travel Insurance
2025-07-28,"HARRIS SCARFE CARNDL, CARINDALE, AU (AUD 24.95)",975.15,0.0,Expenses:Clothes
2025-07-28,"ZORBA HAIR FASHIONS, CARINDALE, AU (AUD 18.98)",741.82,0.0,Expenses:Personal Care
2025-07-28,"STONEARTISAN/UNIT 5 500 L, GREENSLOPES, AU (AUD 49.74)",1944.06,0.0,Expenses:Food:Groceries
2025-07-28,"COLES 4507, GREENSLOPES, AU (AUD 6.50)",254.05,0.0,Expenses:Food:Groceries
2025-07-26,"MUZZA PIES & CAFE, COORPAROO, AU (AUD 8.50)",330.81,0.0,Expenses:Food:Dining
2025-07-26,"COLES 4507, GREENSLOPES, AU (AUD 123.20)",4815.2,0.0,Expenses:Food:Groceries
2025-07-25,"LS Sings Asian Kitche, Coorparoo, AU (AUD 66.00)",2551.71,0.0,Expenses:Food:Dining
2025-07-25,"Thai Street Kitchen, Brisbane, AU (AUD 7.11)",276.72,0.0,Expenses:Food:Dining
2025-07-25,"TARGET 5184, BRISBANE, AU (AUD 15.00)",583.8,0.0,Expenses:Clothes
2025-07-24,"ROCK N ROLL FRUIT - INSTO, GREENSLOPES, AU (AUD 27.38)",1063.44,0.0,Expenses:Food:Groceries
2025-07-24,"SQ *SIRROMET WINES PTY LT, South Brisban, AU (AUD 12.00)",463.95,0.0,Expenses:Travel:Others
2025-07-24,"SQ *SIRROMET WINES PTY LT, Mount Martha, AU (AUD 10.00)",386.62,0.0,Expenses:Clothes
2025-07-24,"SQ *SIRROMET WINES PTY LT, Brisbane City, AU (AUD 17.00)",657.26,0.0,Expenses:Clothes
2025-07-24,"COLES 4507, GREENSLOPES, AU (AUD 103.96)",4037.83,0.0,Expenses:Food:Groceries
2025-07-23,BPI BILLS PAYMENT -EONLINE & EMOBILE,0.0,302073.23,Assets:Current Assets:Banks Local:BPI Savings (GB)
2025-07-23,"GRILLD PTY LTD - CAMP, CAMP HILL, AU (AUD 8.80)",340.15,0.0,Expenses:Clothes
2025-07-23,"GRILLD PTY LTD - CAMP, CAMP HILL, AU (AUD 26.40)",1020.46,0.0,Expenses:Clothes
2025-07-23,"DEVANTIERS PHARMACY, GREENSLOPES, AU (AUD 77.67)",2998.45,0.0,Expenses:Health:Medicines
2025-07-23,"DEVANTIERS PHARMACY, GREENSLOPES, AU (AUD 170.67)",6588.69,0.0,Expenses:Health:Medicines
2025-07-23,"VARIETY PLUS GREENSLOP, GREENSLOPES, AU (AUD 2.99)",115.43,0.0,Expenses:Electronics & Software
2025-07-22,"COLES 4507, GREENSLOPES, AU (AUD 195.76)",7557.29,0.0,Expenses:Food:Groceries
2025-07-21,Online Bills Payment to SMART/SUN,1000.0,0.0,Expenses:Utilities:Mobile
2025-07-21,"GRAB, MAKATI, PH",27.0,0.0,Expenses:Transportation:Public
2025-07-21,"GRAB, MAKATI, PH",178.0,0.0,Expenses:Transportation:Public
2025-07-21,"GRAB, MAKATI, PH",93.0,0.0,Expenses:Transportation:Public
2025-07-21,"GRAB, MAKATI, PH",112.0,0.0,Expenses:Transportation:Public
2025-07-21,"SP PERFECT POTION, BANYO, AU (AUD 44.95)",1737.48,0.0,Expenses:Food:Dining
2025-07-21,"WOOLWORTHS/CARINDALE S/C, CARINDALE, AU (AUD 44.19)",1708.1,0.0,Expenses:Food:Groceries
2025-07-21,"Wellers Hill Bowls, Tarragindi, AU (AUD 21.32)",824.09,0.0,Expenses:Food:Dining
2025-07-21,"QPAC, SOUTH BRISBAN, AU (AUD 10.00)",386.53,0.0,Expenses:Travel:Others
2025-07-21,"QPAC, SOUTH BRISBAN, AU (AUD 88.00)",3401.52,0.0,Expenses:Travel:Others
2025-07-21,"Maxima Carindale, Brisbane, AU (AUD 52.00)",2009.99,0.0,Expenses:Clothes
2025-07-21,"GRAB, MAKATI, PH",57.0,0.0,Expenses:Transportation:Public
2025-07-21,"GRAB, MAKATI, PH",138.0,0.0,Expenses:Transportation:Public
2025-07-21,"GRAB, MAKATI, PH",94.0,0.0,Expenses:Transportation:Public
2025-07-21,"PYMY Modern Monks Inc, MAKATI, PH",200.0,0.0,Expenses:Food:Dining
2025-07-21,"GRAB, MAKATI, PH",185.0,0.0,Expenses:Transportation:Public
2025-07-21,"HARRIS SCARFE CARNDL, CARINDALE, AU (AUD 82.91)",3204.77,0.0,Expenses:Clothes
2025-07-21,"VFS GLOBAL, MAKATI, PH",2965.0,0.0,Expenses:Food:Dining
2025-07-19,"SLK FOOD, GREENSLOPES, AU (AUD 26.50)",1027.33,0.0,Expenses:Food:Dining
2025-07-19,"AUST HLTH MGMT GRP P/L, WOLLONGONG, AU (AUD 312.40)",12110.82,0.0,Expenses:Health:Alternative
2025-07-19,"ALLIED MOVNG SERVICES, DANDENONG, AU (AUD 371.86)",14415.91,0.0,Expenses:Travel:Others
2025-07-19,"JETSTAR AI YT49NX, WWW.JETSTAR.C, AU (AUD 315.59)",12234.49,0.0,Expenses:Travel:Others
2025-07-19,"VIRGIN AUSTRALIA, BRISBANE, AU (AUD 246.42)",9552.98,0.0,Expenses:Travel:Others
2025-07-18,"CLAUDE.AI SUBSCRIPTION, ANTHROPIC.COM, US (USD 20.00)",1179.73,0.0,Expenses:Professional Development & Productivity
2025-07-18,"Adobe, Saggart, Dubl, IE",441.28,0.0,Expenses:Professional Development & Productivity
2025-07-18,"COLES 4507, GREENSLOPES, AU (AUD 214.89)",8330.65,0.0,Expenses:Food:Groceries
2025-07-17,"Camp Hill Medical, Camp Hill, AU (AUD 265.50)",10267.3,0.0,Expenses:Food:Dining
2025-07-17,"EYEWEAR PERFECTION DISCRE, GREENSLOPES, AU (AUD 180.00)",6960.88,0.0,Expenses:Childcare:Extracurricular Activities
2025-07-17,"EYEWEAR PERFECTION DISCRE, GREENSLOPES, AU (AUD 58.00)",2242.95,0.0,Expenses:Travel:Fare
2025-07-16,"BEST AND LESS, CARINDALE, AU (AUD 82.95)",3207.68,0.0,Expenses:Clothes
2025-07-16,"BEST AND LESS, CARINDALE, AU (AUD 99.00)",3828.33,0.0,Expenses:Clothes
2025-07-16,"BEST AND LESS, CARINDALE, AU (AUD 99.00)",3828.33,0.0,Expenses:Clothes
2025-07-16,"Bonds, Carindale, AU (AUD 62.36)",2411.46,0.0,Expenses:Clothes
2025-07-16,"GRAB, MAKATI, PH",209.0,0.0,Expenses:Transportation:Public
2025-07-16,"QANTAS AIR 0812373066829, MANILA, PH",45466.0,0.0,Expenses:Travel:Fare
2025-07-15,"BANH MI HOUSE QLD PTY, BRISBANE AIRP, AU (AUD 7.57)",292.15,0.0,Expenses:Clothes
2025-07-15,"HOME AFFAIRS - ONLINE, SOUTHPORT, AU (AUD 202.80)",7826.61,0.0,Expenses:Travel:Others
2025-07-15,"DEVANTIERS PHARMACY, GREENSLOPES, AU (AUD 39.49)",1524.02,0.0,Expenses:Health:Medicines
2025-07-15,"ASICS Brisbane Airport, Brisb_Airport, AU (AUD 72.00)",2778.67,0.0,Expenses:Gifts
2025-07-15,"LS Australia Pty Ltd, Brisbane, AU (AUD 52.28)",2017.63,0.0,Expenses:Clothes
2025-07-15,"AMAZON MARKETPLACE AU, SYDNEY SOUTH, AU (AUD 52.87)",2040.69,0.0,Expenses:Clothes
2025-07-15,"TARGET 5233, CARINDALE, AU (AUD 135.30)",5232.06,0.0,Expenses:Clothes
2025-07-14,"AMAZON AU, SYDNEY SOUTH, AU (AUD 241.19)",9308.18,0.0,Expenses:Clothes
2025-07-14,"WOOLWORTHS/VILLAGE CENTRE, HAMILTON, AU (AUD 4.20)",162.09,0.0,Expenses:Food:Groceries
2025-07-14,"AMAZON AU, SYDNEY SOUTH, AU (AUD 10.38)",400.59,0.0,Expenses:Travel:Others
2025-07-14,"WOOLWORTHS/VILLAGE CENTRE, HAMILTON, AU (AUD 99.00)",3820.68,0.0,Expenses:Food:Groceries
2025-07-14,"PAYPAL *MARJORIELOP MAR, 4029357733, SG",15000.0,0.0,Expenses:Miscellaneous:Unaccounted
2025-07-14,"LOTTE TR BRISBANE AI, EAGLE FARM, AU (AUD 120.07)",4633.83,0.0,Expenses:Gifts
2025-07-14,"AMAZON MKTPL*NR68Q31G0, Amzn.com/bill, US (USD 159.79)",9346.38,0.0,Expenses:Household Supplies
2025-07-14,"UNIQLO ECOM, PASAY CITY, PH",3660.0,0.0,Expenses:Clothes
2025-07-14,"SECRET RECIPE ONE AYAL, MAKATI, PH",784.29,0.0,Expenses:Food:Dining
2025-07-14,"AMAZON MARKETPLACE AU, SYDNEY SOUTH, AU (AUD 48.93)",1888.61,0.0,Expenses:Clothes
2025-07-14,"Camp Hill Medical, Camp Hill, AU (AUD 98.50)",3801.39,0.0,Expenses:Food:Dining
2025-07-14,"AMAZON AU, SYDNEY SOUTH, AU (AUD 12.37)",477.4,0.0,Expenses:Clothes
2025-07-12,Online Bills Payment to MANILA WATER COMPANY INC,3365.79,0.0,Expenses:Utilities:Water
2025-07-12,"LAZADA PH, MAKATI, PH",10099.07,0.0,Expenses:Household Supplies
2025-07-12,"LAZADA PH, MAKATI, PH",1800.0,0.0,Expenses:Household Supplies
2025-07-11,"ECLPI RENT A CAR CO, PASAY, PH",1010.0,0.0,Expenses:Travel:Taxi/Car Rental
2025-07-11,"STARBUCKS 575 AYALA T, MAKATI, PH",340.0,0.0,Expenses:Food:Dining
2025-07-11,"INTERCARE CHIROPRACTIC MA, MAKATI CITY, PH",11000.0,0.0,Expenses:Health:Alternative
2025-07-10,"GRAB, MAKATI, PH",854.0,0.0,Expenses:Transportation:Public
2025-07-09,"HILTON MANILA PORT BAR, PASAY, PH",347092.28,0.0,Assets:Current Assets:Cash Local:RISE
